# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
et/ID00BB.BIN	F0	0	32	1FB2	意地でも通る	Push Through	
et/ID00BB.BIN	F0	1	44	1FB2	そこを何とか	Just Once	
et/ID00BB.BIN	F0	2	58	1FB2	袖の下を渡す	Bribe Them	
et/ID00BB.BIN	F0	3	72	1FB2	貴方に用がある	I Need to Pass	
et/ID00BB.BIN	F0	4	134	1FB2	望む所だ	Bring It	
et/ID00BB.BIN	F0	5	144	1FB2	やだ！	Nope!	
et/ID00BB.BIN	F0	6	492	1FB2	はい	Yes	
et/ID00BB.BIN	F0	7	496	1FB2	やだ！	Nope!	
et/ID00BB.BIN	F0	8	553	1FB2	袖の下を渡す	Bribe Them	
et/ID00BB.BIN	F0	9	567	1FB2	土下座する	Grovel	
et/ID00BB.BIN	F0	10	622	1FB2	はい	Yes	
et/ID00BB.BIN	F0	11	626	1FB2	やだ！	Nope!	
et/ID00BB.BIN	F0	12	725	1FB2	仲魔になって	Join My Side	
et/ID00BB.BIN	F0	13	733	1FB2	何かくれ	Gimme	
