# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
m/MS005F.BIN	F0	0	15	1FD2	Sonoda:	Sonoda:	
m/MS005F.BIN	F0	1	24	1FD3	If we go that way, we won't be able to save Rui!\n<wait>	If we go that way, we won't be able to save Rui!\n<wait>	
m/MS005F.BIN	F0	2	87	1FD0	If you head this way, you won't be able to save Rui...\n<wait>	If you head this way, you won't be able to save Rui...\n<wait>	
m/MS005F.BIN	F0	3	168	1FB2	Let's leave her	Let's leave her	
m/MS005F.BIN	F0	4	185	1FB2	We need to save her	We need to save her	
m/MS005F.BIN	F0	5	224	1FBA	If you die here, then that's it. Nothing else matters.\n<wait>	If you die here, then that's it. Nothing else matters.\n<wait>	
m/MS005F.BIN	F0	6	285	1FBA	You decide to prioritize saving yourself.\n<wait>	You decide to prioritize saving yourself.\n<wait>	
m/MS005F.BIN	F0	7	333	1FBA	That said, you can't help but wonder, what about Sonoda?\nWill he be okay with that? It's not hard for you to imagine\nhim trying to come back for her after the fact.\n<wait>	That said, you can't help but wonder, what about Sonoda?\nWill he be okay with that? It's not hard for you to imagine\nhim trying to come back for her after the fact.\n<wait>	
m/MS005F.BIN	F0	8	504	1FBA	Considering that, perhaps it would be for the best if the two of you\nwent together. Yeah. You end up changing your plans after all.\n<wait>	Considering that, perhaps it would be for the best if the two of you\nwent together. Yeah. You end up changing your plans after all.\n<wait>	
m/MS005F.BIN	F0	9	647	1FBA	There's no way that you can leave a young girl like her to the mercy\nof the demons. You decide to go back for Rui.\n<wait>	There's no way that you can leave a young girl like her to the mercy\nof the demons. You decide to go back for Rui.\n<wait>	
m/MS005F.BIN	F0	10	821	1FD2	Sonoda:	Sonoda:	
m/MS005F.BIN	F0	11	830	1FD3	{0B}D	{0B}D	suspect: may be misread operand data, verify before editing; runtime inserts: reproduce every {XX} token, in order
m/MS005F.BIN	F0	12	958	1FD0	This is the mining area.\n<wait>	This is the mining area.\n<wait>	
m/MS005F.BIN	F0	13	989	1FBA	Heading this way is a terrible idea. You quickly turn back.\n<wait>	Heading this way is a terrible idea. You quickly turn back.\n<wait>	
m/MS005F.BIN	F0	14	1157	1FD2	Man:	Man:	
m/MS005F.BIN	F0	15	1163	1FD3	Hmm? Who are you?\n<wait>	Hmm? Who are you?\n<wait>	
m/MS005F.BIN	F0	16	1189	1FD2	Man:	Man:	
m/MS005F.BIN	F0	17	1195	1FD3	Oh, I see...\n<wait>A fellow initiate.\n<wait>	Oh, I see...\n<wait>A fellow initiate.\n<wait>	
m/MS005F.BIN	F0	18	1239	1FD2	Man:	Man:	
m/MS005F.BIN	F0	19	1245	1FD3	That's good. Selling your soul to the devil beats dying any day.\n<wait>	That's good. Selling your soul to the devil beats dying any day.\n<wait>	
m/MS005F.BIN	F0	20	1376	1FD2	Man:	Man:	
m/MS005F.BIN	F0	21	1382	1FD3	Hihihi... All hail Lord Bael... Lord Bael...\nHahahaha... Hihihi... All hail Lord Bael...\n<wait>	Hihihi... All hail Lord Bael... Lord Bael...\nHahahaha... Hihihi... All hail Lord Bael...\n<wait>	
m/MS005F.BIN	F0	22	1551	1FD0	You get tossed into an empty jail cell.\n<wait>	You get tossed into an empty jail cell.\n<wait>	
m/MS005F.BIN	F0	23	1599	1FD2	Baal Soldier:	Baal Soldier:	
m/MS005F.BIN	F0	24	1614	1FD3	Stay there!\n<wait>	Stay there!\n<wait>	
m/MS005F.BIN	F0	25	1634	1FD2	Baal Soldier:	Baal Soldier:	
m/MS005F.BIN	F0	26	1649	1FD3	Don't even think about trying to escape.\nWell, not that you could even if you wanted to.\n<wait>	Don't even think about trying to escape.\nWell, not that you could even if you wanted to.\n<wait>	
m/MS005F.BIN	F0	27	1746	1FD0	With that, the soldier walks away.\n<wait>	With that, the soldier walks away.\n<wait>	
m/MS005F.BIN	F0	28	1808	1FD2	Baal Soldier:	Baal Soldier:	
m/MS005F.BIN	F0	29	1823	1FD3	Stay there!\n<wait>	Stay there!\n<wait>	
m/MS005F.BIN	F0	30	1847	1FD0	You get tossed into the jail cell.\n<wait>	You get tossed into the jail cell.\n<wait>	
m/MS005F.BIN	F0	31	1909	1FD2	Baal Soldier:	Baal Soldier:	
m/MS005F.BIN	F0	32	1924	1FD3	Stay there!\n<wait>	Stay there!\n<wait>	
m/MS005F.BIN	F0	33	1948	1FD0	You get tossed into the jail cell.\n<wait>	You get tossed into the jail cell.\n<wait>	
m/MS005F.BIN	F0	34	2002	1FD1	>What will you do?\n	>What will you do?\n	
m/MS005F.BIN	F0	35	2037	1FB2	Think about Sonoda	Think about Sonoda	
m/MS005F.BIN	F0	36	2057	1FB2	Think about Rui	Think about Rui	
m/MS005F.BIN	F0	37	2074	1FB2	Think about Yamase	Think about Yamase	
m/MS005F.BIN	F0	38	2094	1FB2	Sleep	Sleep	
m/MS005F.BIN	F0	39	2129	1FD0	Is Sonoda really going to be okay? Could it be that... You know?\nAll sorts of sinister thoughts begin passing through your mind.\nStill, it is true that at this point, you can do little more\nthan to pray for his safety.\n<wait>	Is Sonoda really going to be okay? Could it be that... You know?\nAll sorts of sinister thoughts begin passing through your mind.\nStill, it is true that at this point, you can do little more\nthan to pray for his safety.\n<wait>	
m/MS005F.BIN	F0	40	2483	1FBA	Does she perhaps serve Baalzephon in some "other" way?\n<wait>	Does she perhaps serve Baalzephon in some "other" way?\n<wait>	
m/MS005F.BIN	F0	41	2656	1FBA	You find yourself getting furious.\n<wait>	You find yourself getting furious.\n<wait>	
m/MS005F.BIN	F0	42	2697	1FBA	How dare he pretend like he had no choice. What an absolute scumbag.\n<wait>	How dare he pretend like he had no choice. What an absolute scumbag.\n<wait>	
m/MS005F.BIN	F0	43	2877	1FD0	You lie down on the cold, stone floor and attempt to get some sleep.\n<wait>	You lie down on the cold, stone floor and attempt to get some sleep.\n<wait>	
m/MS005F.BIN	F0	44	3042	1FD0	You're having a dream...\n<wait>	You're having a dream...\n<wait>	
m/MS005F.BIN	F0	45	3125	1FD0	In the dream, Bael appears before you...\n<wait>	In the dream, Bael appears before you...\n<wait>	
m/MS005F.BIN	F0	46	3174	1FD2	Bael:	Bael:	
m/MS005F.BIN	F0	47	3181	1FD3	Join me... Worship me...\n<wait>	Join me... Worship me...\n<wait>	
m/MS005F.BIN	F0	48	3214	1FD2	Bael:	Bael:	
m/MS005F.BIN	F0	49	3221	1FD3	Fear not, my servant... Join me... Worship me...\n<wait>	Fear not, my servant... Join me... Worship me...\n<wait>	
m/MS005F.BIN	F0	50	3278	1FD2	Bael:	Bael:	
m/MS005F.BIN	F0	51	3285	1FD3	Join me, and I shall grant you power...\nI shall unlock you a new path forward...\n<wait>	Join me, and I shall grant you power...\nI shall unlock you a new path forward...\n<wait>	
m/MS005F.BIN	F0	52	3399	1FD0	It's the morning of the third day.\nLike yesterday, you wake up to the sound of a soldier yelling at you.\n<wait>	It's the morning of the third day.\nLike yesterday, you wake up to the sound of a soldier yelling at you.\n<wait>	
m/MS005F.BIN	F0	53	3512	1FD2	Baal Soldier:	Baal Soldier:	
m/MS005F.BIN	F0	54	3527	1FD3	Work time! Get moving!\n<wait>	Work time! Get moving!\n<wait>	
m/MS005F.BIN	F0	55	3558	1FD0	You left the cell.\n<wait>	You left the cell.\n<wait>	
m/MS005F.BIN	F0	56	3651	1FD0	You attempt to get some sleep, but it's no use.\nYour body aches all over, leaving you to toss and turn around for hours.\n<wait>	You attempt to get some sleep, but it's no use.\nYour body aches all over, leaving you to toss and turn around for hours.\n<wait>	
m/MS005F.BIN	F0	57	3778	1FBA	Just as your consciousness to begins fade away, you hear a voice.\n<wait>	Just as your consciousness to begins fade away, you hear a voice.\n<wait>	
m/MS005F.BIN	F0	58	3852	1FD2	Voice:	Voice:	
m/MS005F.BIN	F0	59	3866	1FFA	Join me... Worship me...\n<wait>Join me... Worship me...\n<wait>Join me... Worship me...\n<wait>	Join me... Worship me...\n<wait>Join me... Worship me...\n<wait>Join me... Worship me...\n<wait>	
m/MS005F.BIN	F0	60	3963	1FD0	The voice causes you to experience a sensation of dread like\nnothing you've ever felt before. You immediately leap up.\n<wait>	The voice causes you to experience a sensation of dread like\nnothing you've ever felt before. You immediately leap up.\n<wait>	
m/MS005F.BIN	F0	61	4088	1FBA	You look around you, but there's no one there.\n<wait>	You look around you, but there's no one there.\n<wait>	
m/MS005F.BIN	F0	62	4143	1FD2	Katsuragi:	Katsuragi:	
m/MS005F.BIN	F0	63	4155	1FD3	...A dream, huh?\n<wait>	...A dream, huh?\n<wait>	
m/MS005F.BIN	F0	64	4180	1FD0	With that, you go back to trying to get sleep.\n<wait>	With that, you go back to trying to get sleep.\n<wait>	
m/MS005F.BIN	F0	65	4264	1FD0	It's the morning of the second day.\nYou wake up to the sound of a soldier yelling at you.\n<wait>	It's the morning of the second day.\nYou wake up to the sound of a soldier yelling at you.\n<wait>	
m/MS005F.BIN	F0	66	4362	1FD2	Baal Soldier:	Baal Soldier:	
