# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
m/MS7F01.BIN	R1:00	0	5	DATA	デビルバスター		
m/MS7F01.BIN	R3:01	0	13	DATA	ペンタグランマ		
m/MS7F01.BIN	R5:02	0	31	DATA	キャンプ		
m/MS7F01.BIN	R7:03	0	43	DATA	レジスタンス		
m/MS7F01.BIN	R9:04	0	59	DATA	アイテム		
m/MS7F01.BIN	R11:05	0	71	DATA	出かける		
m/MS7F01.BIN	R13:06	0	81	DATA	どうしますか？		
m/MS7F01.BIN	R15:07	0	91	DATA	通信をする		
m/MS7F01.BIN	R17:08	0	101	DATA	‥‥‥	‥‥‥	
m/MS7F01.BIN	R19:09	0	109	DATA	・・・		
m/MS7F01.BIN	R21:0A	0	119	DATA	ません		
m/MS7F01.BIN	R23:0B	0	127	DATA	人間		
m/MS7F01.BIN	R25:0C	0	135	DATA	我々		
m/MS7F01.BIN	R27:0D	0	143	DATA	させて		
m/MS7F01.BIN	R29:0E	0	151	DATA	こちら		
