jp	en	category	source	note
史人	Ayato	character	exe pairs.txt cluster @0x67b58; m/MS0000.BIN+	Given name of the protagonist. Called "Ayato" by close family/friends (Nishino: "Ayato! The ID is 58147!"); usually addressed by surname otherwise.
葛城	Katsuragi	character	m/MS0000.BIN, MS0001.BIN, MS0002.BIN, MS0003.BIN (pervasive)	Protagonist's surname; his default speaker tag "Katsuragi:". Kanji itself is left UNTOUCHED in the exe string table (sjis_inventory.md UNTOUCHED off 00067b60) — only used as running text in story files, not the HUD.
橘	Tachibana	character	untranslated in exe (kanji retained, sjis_inventory.md off 00067b70); surname inferred, never used as a speaker tag	Surname of Yuuka. NOT used as a speaker tag anywhere in MS0000-MS006D — she is always "Yuuka:".
由宇香	Yuuka	character	exe pairs.txt @0x67b68 "Yuuka"; m/MS0007.BIN etc.	Given name of Tachibana Yuuka; ALWAYS the speaker tag (never "Tachibana:"). Warm/soft voice, contraction-heavy. Uses "Katsuragi-kun" (honorific kept) consistently, ~15 instances.
達也	Tatsuya	character	exe pairs.txt @0x67b90 "Tatsuya"	Given name of Hayasaka Tatsuya; rarely used alone in dialogue (surname preferred).
早坂	Hayasaka	character	m/MS0000.BIN "Hayasaka:"	Surname, standard speaker tag. Hot-tempered voice: "The hell!?", "Who would ever want to be a demon's lackey!?"
義雄	Yoshio	character	exe pairs.txt @0x67b80 "Yoshio"	Given name of Nishino Yoshio; rarely used alone (surname preferred).
西野	Nishino	character	m/MS0000.BIN "Nishino:"	Surname, standard speaker tag. Commanding in crisis ("Kirishima! Hayasaka!"), warm in family scenes with daughter Chita (MS0029.BIN).
英美	Emi	character	exe pairs.txt @0x67bac "Emi"; m/MS0000.BIN	Given name of Kirishima Emi. ALWAYS the speaker tag (758+ occurrences) — "Kirishima" alone is never used as a tag. Emotional/exclamatory voice: "Y-Yamase!? You're alive?"
桐島	Kirishima	character	untranslated in exe (kanji retained, off 00067bb4); used only in the full self-introduction "Kirishima Emi"	Surname; essentially never used standalone as a speaker tag.
公輝	Kouki	character	exe pairs.txt @0x67bf8 "Kouki"	Given name of Kamikawa Kouki; rarely used alone (surname preferred).
上河	Kamikawa	character	m/MS0002.BIN "Kamikawa:"	Surname, standard speaker tag. Formal/dutiful voice: "Yes sir."
勇	Isamu	character	untranslated in exe (kanji retained, off 00067ba0)	Given name of Yamase Isamu; essentially unused in dialogue (surname strongly preferred).
山瀬	Yamase	character	exe pairs.txt @0x67ba4 "Yamase "; m/MS0000.BIN	Surname, standard speaker tag. Brash survivor voice: "I got the hell out of there as fast as I could."
哲也	Tetsuya	character	exe pairs.txt @0x67be8 "Tetsuya"	Given name of Sonoda Tetsuya; rarely used alone.
園田	Sonoda	character	exe pairs.txt @0x67bf0 "Sonoda "; m/MS0002.BIN	Surname, standard speaker tag (also appears once as "Sonoda." with a period — inconsistency, see style guide). Friendly-skeptical resistance-member voice.
三四郎	Sanshirou	character	m/MS0006.BIN etc.	Given name of Souma Sanshirou; used alone as speaker tag OR combined as "Souma Sanshirou:". Blunt/casual voice: "Hell yeah!", "Shit..."
相馬	Souma	character	exe pairs.txt @0x67c10 "Souma " (translated, trailing space)	Surname shared by Souma Sanshirou and by the unrelated NPC Souma Kojirou (reincarnation of Masakado, mentioned once). See note on "Souma Yukihito" below.
泪	Rui	character	exe pairs.txt @0x67b74 "Rui"; m/MS0011.BIN	Given name of Asuka Rui. ALWAYS the speaker tag "Rui:". Terse, urgent lines: "Just a bit more!"
飛鳥	Asuka	character	exe pairs.txt @0x67b78 "Asuka " (translated, trailing space)	Surname of Rui; not used as a speaker tag in sampled files.
カズミ	Kazumi	character	exe pairs.txt @0x67bc8 "Kazumi" (already katakana in JP)	Presumed given name of Yamada Kazumi. NOT found paired with "Yamada" anywhere in story files MS0000-MS006D; a bare "Kazumi:" speaker tag exists but the surname link is unconfirmed in the sampled range.
山田	Yamada	character	exe pairs.txt @0x67bd0 "Yamada " (translated, trailing space)	Presumed surname of Kazumi; pairing not directly confirmed in story text sampled (MS0000-MS006D). May surface later in the game.
ニュートン	Newton	character	exe pairs.txt @0x67bbc "Newton"; m/ dialogue	Confirmed to be a DOG companion, not a human — all "lines" are onomatopoeia ("Woof!", "*GRRRRRWL*!...").
内海祥子 (reading uncertain)	Utsumi Shouko	character	tools/dumps/p_names.txt / task brief; NOT located in m/MS0000.BIN-MS006D.BIN	No dialogue evidence found in the sampled story range. Needs verification against later-game files (beyond MS006D) before finalizing voice/register.
(unconfirmed kanji)	Souma Yukihito	character	tools/dumps/p_names.txt line 1 "P2000 Souma Yukihito" (unit-roster slot 1)	NOT found anywhere in m/MS0000.BIN-MS006D.BIN dialogue (checked exhaustively). Only appears in the p/ unit-name table as the very first party slot. Likely either (a) the protagonist's true/hidden name revealed later in the story, distinct from his alias "Katsuragi Ayato", or (b) an unused/placeholder default name. Flag for confirmation before use in new translation.
惣厳	(name unclear, not "Katsuragi Ayato"/"Souma")	character	exe UNTOUCHED, sjis_inventory.md off 00067bd8 (English mapped to empty string ''); paired oddly with untranslated surname 立川 ("Tachikawa")	Minor/unclear NPC, not part of the main cast list; the exe leaves this English slot empty. Do not confuse 立川 (Tachikawa) with 橘 (Tachibana) — they are different kanji/readings that both showed up during exe analysis.
Souma Kojirou (惣厳...unclear)	Souma Kojirou	character	agent-mined story text, m/MS0000.BIN area	Mentioned once as "the reincarnation of Masakado" — unrelated to Souma Sanshirou/Yukihito beyond sharing the Souma surname.
なし (n/a — see note)	Devil Buster	misc	m/MS0000.BIN ("member of Devil Buster Squad Two, Kirishima Emi"), 30+ files	Established rendering of デビルバスター, the player's profession/faction. Plural "Devil Busters" used naturally. NOT "Devil Hunter" or "Demon Buster" — keep exactly "Devil Buster(s)".
悪魔	demon	misc	50+ story files, e.g. m/MS00B0.BIN ("a terrible prison there ran by demon")	Generic term for the game's monsters. "devil" essentially never used standalone — it survives only inside the fixed compound "Devil Buster".
ＣＯＭＰ	COMP	ui-term	tools/exe_analysis/english_inventory.md off 000660b0 (battle command menu: ATTACK/SWORD/GUN/MAGIC/ITEM/COMP/EXTRA/RETURN/DEFENCE)	Battle-menu command label (opens demon-command options in combat). NOT the same string as the narrative "Arm Terminal" below — see inconsistency note in style guide; both likely refer to the same wrist device from two different UI layers.
(device referred to only in prose, no fixed JP term captured)	Arm Terminal	ui-term	m/MS0000.BIN ("That Arm Terminal of yours"), MS0017/MS0019.BIN ("operating his Arm Terminal")	Established story-text name for the player's wrist device (equivalent to a COMP in mainline SMT). Use this term in new narrative/negotiation text referring to the device.
ターミナル	Terminal	ui-term	m/MS00A0.BIN ("Welcome to Hatsudai Terminal"); et/ET0101.BIN offsets 0000c3, 0001ef ("Terminal", "Computer Terminal")	Used for TWO distinct things: (a) a fixed network kiosk/terminal in the world ("Hatsudai Terminal", "Computer Terminal"), and (b) loosely for the wrist device via "Arm Terminal". Disambiguate by context.
ＤＤＳ	DDS	ui-term	m/MS001E.BIN ("The next set of programs, DDS and DDC..."); exe pairs.txt (DDS not installed)	Kept as a bare Latin acronym everywhere, both in the exe and in story text. Likely "Demon [something] System" — full expansion not confirmed in sampled text.
ＤＣＳ	DDC (as shipped) — verify against "DCS"	ui-term	exe pairs.txt "[TALK] DCSを所持していません" -> "DCS not installed" (exe); BUT story text (m/MS0007, MS001E, MS0028, MS0058.BIN) consistently uses "DDC" instead ("I managed to download both DDC and DAS")	INCONSISTENCY: the exe translates ＤＣＳ as "DCS", but every story-file appearance of the paired program name reads "DDC". Needs a decision: standardize on "DCS" (matches the exe and the task brief) or confirm "DDC" is the intended in-fiction name and the exe's "DCS" is the odd one out.
ＡＭＳ	AMS	ui-term	exe pairs.txt ("AMS not installed"); m/MS00A0-MS00AE.BIN heavily ("AMS map data found. Download it?")	Kept as a bare Latin acronym consistently across both exe and story/terminal text.
ＤＡＳ	DAS	ui-term	exe pairs.txt (untranslated cluster, "ＤＡＳがインストゥールされていません"); m/MS0056-area ("download an analyser named DAS")	Kept as a bare Latin acronym in story text even though the exe string containing it (「ＤＡＳがインストゥールされていません」) is itself still UNTOUCHED/untranslated — a good candidate line for the untranslated-text pass, rendering as e.g. "DAS is not installed."
合体	(no established term found)	misc	not found as "fusion"/"combine"/"merge" in m/MS0000.BIN-MS006D.BIN sampled	IMPORTANT: demon acquisition in the sampled story range is described with a software install/download metaphor, not classic "fusion" — cf. untranslated m/MS010A.BIN: 「そのソフトの上位バージョンがインストール済だぜ」("A higher version of that software is already installed"), and translated m/MS001E.BIN: "Arm Terminals come pre-installed with a number of helpful programs." Recommend translating 合体 as "install"/"upgrade" rather than "fuse", pending confirmation against files beyond MS006D where classic fusion UI may still appear.
仲魔	Demon (HUD-abbreviated count only)	ui-term	exe pairs.txt @0x68054 "仲魔 %5d／%2d" -> "Demon%5d／%2d"	No "ally demon"/"partner demon"/"companion" phrasing found anywhere in the sampled story dialogue (MS0000-MS006D) — the concept is simply not named directly in prose there. Only the HUD count string translates it, as plain "Demon". Use "Demon"/"demon" for now; revisit if narrative text elsewhere names the concept distinctly.
宝石	Gemstone	item	tools/dumps/ID_choice_menus.txt (ID00A2/ID00A3, already-translated cat-negotiation menu)	Negotiation "give an item" menu option; official cat-menu translation, reuse verbatim for consistency (ID009D/ID009F are untranslated duplicates of this same menu).
魔石	Magic Stone	item	tools/dumps/ID_choice_menus.txt (ID00A2/ID00A3)	As above — established, reuse verbatim.
金	Money	item	tools/dumps/ID_choice_menus.txt (ID00A2/ID00A3)	As above — established, reuse verbatim. NOT "Gold" or "Cash".
他の物	Other	negotiation-verb	tools/dumps/ID_choice_menus.txt (ID00A2/ID00A3, and 7+ untranslated duplicate files)	Catch-all "give something else" menu option; established, reuse verbatim everywhere 他の物 recurs (ID0099, ID009D, ID009F, ID00C1, ID00C2, ID00C3, ID00E9, ID00EC, ID014E).
マタタビをあげる	Catnip	negotiation-verb	tools/dumps/ID_choice_menus.txt (ID00A2/ID00A3, established); recurs untranslated in ID009D, ID009F	Cat-type negotiation menu option; reuse verbatim.
喉を撫でる	Rub Neck	negotiation-verb	tools/dumps/ID_choice_menus.txt (ID00A2/ID00A3, established); recurs untranslated in ID009D, ID009F	Cat-type negotiation menu option; reuse verbatim.
猫じゃらしを振る	Wave Cat Toy	negotiation-verb	tools/dumps/ID_choice_menus.txt ID009D/ID009F — untranslated, no established precedent found	Proposed. Cat-type negotiation menu, appears alongside マタタビをあげる/喉を撫でる but has no existing English counterpart in the ID00A2/A3 reference pair.
や (short for やめる in a menu)	Never Mind	negotiation-verb	tools/dumps/ID_choice_menus.txt (ID00A2/ID00A3, established)	Menu-cancel option abbreviated to a single kana in the raw script; reuse "Never Mind" verbatim wherever this exact context recurs.
＞もっとやりますか？	&gt;Keep going?	negotiation-verb	tools/dumps/ID_choice_menus.txt (ID00A2/ID00A3, established)	Follow-up prompt after giving an item/amount; reuse verbatim. Paired choice options も(っとやる)/やめちゃう -> "Keep Going" / "Stop" (same file).
マッカ	Macca	currency/unit	m/MS0007, MS0008, MS0019, MS003A, MS0065.BIN (15+ instances, mostly lowercase "macca"; 2 instances capitalized "Macca")	INCONSISTENCY: overwhelmingly lowercase "macca" in running prose, but "Macca" (capitalized) slips in twice ("You lack the Macca to make this purchase."). Standardize going forward — recommend capitalized "Macca" (proper noun / official SMT spelling) for all NEW text, per the task's own example mapping.
ＭＡＧ	MAG (HUD abbreviation) / Magnetite (spelled out)	currency/unit	tools/exe_analysis/english_inventory.md off 00066a04 "MAG"; tools/dumps/ID_choice_menus.txt ID00A2/A3 "Magnetite" (item-menu spelled-out form)	Two registers: compact HUD/negotiation-amount contexts use "MAG"; the item/negotiation-goods menu spells it "Magnetite". Both are established — use "MAG" in tight UI space, "Magnetite" in prose/full item names.
シェルター	Shelter / (as part of place names) Shelter	place	m/MS0000.BIN "Our shelter was... overthrown by a demon called Murmur."; et/ET0010.BIN off 0008f7 "Toyama Shelter"	Lowercase "shelter" in generic prose reference, capitalized "Shelter" when part of a proper place name (e.g. "Toyama Shelter").
史人所属班 / 第二班 (uncertain exact JP)	Devil Buster Squad Two	misc	m/MS0000.BIN ("This is a member of Devil Buster Squad Two, Kirishima Emi.")	Established organizational-unit naming pattern: "Devil Buster Squad <Number>".
デイティ (guess, unverified — see note)	Deity	race	et/ET0000.BIN off 00076b (already fully translated; original JP not recoverable — overwritten in place)	First race-name table in et/ET0000.BIN. JP source text no longer present in this build (translator replaced it in place); English values are already fully established, listed here for reference/consistency. Sequence: Deity, Goddess, Destroyer, Fierce, Herald, Earth Mother, Dragon, Avian, D.Beast, H.Beast, Element, Divine, Goetia, Serpent, Winged, M.Beast, Mystic, Night, Aqua, Fairy, Tree, Femme, Warrior, Brute, Terra, Cambion, Demonoid, Therian, Ishtarite, Baelite, Lunatic, Soldier, Human, Dog, Foul, Puppet, Machine, Spirit, Undead, Haunt, Ogre, Wood, E.Beast, Raptor, Drake, Servant, Fallen, Demon, Wicked, Tyrant.
(unrecoverable)	Goddess	race	et/ET0000.BIN off 000771	See "Deity" row note — part of the same already-translated race list.
(unrecoverable)	Ishtarite	race	et/ET0000.BIN off 000838	Game-specific race tied to the Ishtar cult (matches MS6106 negotiation NPC voice, an Ishtar devotee).
(unrecoverable)	Baelite	race	et/ET0000.BIN off 000842	Game-specific race tied to the Bael cult (matches MS6107/MS6109 negotiation NPC voices).
(unrecoverable)	Fallen	race	et/ET0000.BIN off 0008b3	Matches "fallen angel" (堕天使) NPC voice MS610A.
(unrecoverable, second table in same file)	Sky God / Earth God / Hebrew / Hermit / Deva / Asura / Yaksha / Rakshasa / Aesir / Vanir / Danu / Olympian / Titan / Gaian / Fomorian / Viy / Babel / Lewis / Totem / Ra / Yazata	race	et/ET0000.BIN off 00090a-000998	Second block in the same file — reads as a mythological PANTHEON/origin classification (which pantheon a demon belongs to), distinct from the race list above. Already fully translated; listed for completeness.
(unrecoverable, third table)	Fool / Progeny / Awakened / Superhuman / Great Guru / Demi-God / God	misc	et/ET0000.BIN off 0009ab-0009e0	Reads as a protagonist rank/growth-title progression, not a demon race. Already translated; flagged for whoever maintains the leveling/rank UI.
(unrecoverable, fourth table)	Undefined / God / Evil God / Demon / Heavenly / Dragon / Bird / Beast / Oni / Spirit / Ghost / Unholy / Human / Cambion / Inanimate / Plant	race	et/ET0000.BIN off 000a08-000a70	A second, simpler race classification (likely used in a different compendium/UI view than the main race list above). Already translated.
