# In-place string replacements (data sections), org -> dds_en

### cluster off 00062fe9-000630f5  sec .rdata  VA 004647e9
  * off=00062fe8 va=004647e8 len_jp=3   len_en=5   | '\x01死'                                    | '\x01Dead'
  * off=00062ff0 va=004647f0 len_jp=5   len_en=6   | '\x02瀕死'                                   | '\x02Dying'
  * off=00062ff8 va=004647f8 len_jp=5   len_en=6   | '\x03昏倒'                                   | '\x03Swoon'
  * off=00063000 va=00464800 len_jp=5   len_en=6   | '\x04石化'                                   | '\x04Stone'
  * off=00063008 va=00464808 len_jp=5   len_en=7   | '\x05麻痺'                                   | '\x05Paral.'
  * off=00063010 va=00464810 len_jp=5   len_en=6   | '\x06凍結'                                   | '\x06Chill'
  * off=00063018 va=00464818 len_jp=5   len_en=7   | '\x07憑依'                                   | '\x07Posse.'
  * off=00063020 va=00464820 len_jp=7   len_en=7   | '\x08ゾンビ'                                  | '\x08Zombie'
  * off=00063028 va=00464828 len_jp=5   len_en=6   | '\t呪い'                                     | '\tCurse'
  * off=00063030 va=00464830 len_jp=5   len_en=6   | '\n気絶'                                     | '\nFaint'
  * off=00063038 va=00464838 len_jp=5   len_en=7   | '\x0b窒息'                                   | '\x0bSuffo.'
  * off=00063040 va=00464840 len_jp=5   len_en=5   | '\x0c禁縛'                                   | '\x0cBind'
  * off=00063048 va=00464848 len_jp=5   len_en=6   | '\r眠り'                                     | '\rSleep'
  * off=00063050 va=00464850 len_jp=5   len_en=6   | '\x0e恐慌'                                   | '\x0ePanic'
  * off=00063058 va=00464858 len_jp=5   len_en=6   | ' 猛毒'                                      | ' Toxic'
  * off=00063060 va=00464860 len_jp=3   len_en=7   | '\x0f毒'                                    | '\x0fPoison'
  * off=00063068 va=00464868 len_jp=5   len_en=7   | '\x10幻覚'                                   | '\x10Hallu.'
  * off=00063070 va=00464870 len_jp=5   len_en=6   | '\x11魅了'                                   | '\x11Charm'
