id	file_off	va	section	slot_bytes	refs	record_width	max_cols	jp	en	note
rdata_062a76	00062a76	00464276	.rdata	6			5	\x04：	\x04：	@skip unreachable
rdata_062ae6	00062ae6	004642e6	.rdata	9			8	Y@	Y@	@skip unreachable
rdata_062fe1	00062fe1	004647e1	.rdata	7	0043f2e7,0043f336,0043f37b		6	灰	Ash	
rdata_062ff0	00062ff0	004647f0	.rdata	8		8	7	\x02瀕死	\x02Dying	
rdata_062ff8	00062ff8	004647f8	.rdata	8		8	7	\x03昏倒	\x03Swoon	
rdata_063000	00063000	00464800	.rdata	8		8	7	\x04石化	\x04Stone	
rdata_063008	00063008	00464808	.rdata	8		8	7	\x05麻痺	\x05Paral.	
rdata_063010	00063010	00464810	.rdata	8		8	7	\x06凍結	\x06Chill	
rdata_063018	00063018	00464818	.rdata	8		8	7	\x07憑依	\x07Posse.	
rdata_063020	00063020	00464820	.rdata	8		8	7	\x08ゾンビ	\x08Zombie	
rdata_063028	00063028	00464828	.rdata	8		8	7	\t呪い	\tCurse	
rdata_063030	00063030	00464830	.rdata	8		8	7	\n気絶	\nFaint	
rdata_063038	00063038	00464838	.rdata	8		8	7	\x0b窒息	\x0bSuffo.	
rdata_063040	00063040	00464840	.rdata	8		8	7	\x0c禁縛	\x0cBind	
rdata_063048	00063048	00464848	.rdata	8		8	7	\r眠り	\rSleep	
rdata_063050	00063050	00464850	.rdata	8		8	7	\x0e恐慌	\x0ePanic	
rdata_063058	00063058	00464858	.rdata	8		8	7	 猛毒	 Toxic	
rdata_063068	00063068	00464868	.rdata	8		8	7	\x10幻覚	\x10Hallu.	
rdata_063070	00063070	00464870	.rdata	8		8	7	\x11魅了	\x11Charm	
rdata_063078	00063078	00464878	.rdata	8		8	7	\x12混乱	\x12Confus	
rdata_063080	00063080	00464880	.rdata	8		8	7	\x13舞踏	\x13Dance	
rdata_063088	00063088	00464888	.rdata	8		8	7	\x14感電	\x14Shock	
rdata_063090	00063090	00464890	.rdata	8		8	7	\x15氷結	\x15Freeze	
rdata_063098	00063098	00464898	.rdata	8		8	7	\x16炎上	\x16Ignite	
rdata_0630a0	000630a0	004648a0	.rdata	8		8	7	\x17盲目	\x17Blind	
rdata_0630a8	000630a8	004648a8	.rdata	8		8	7	\x18封魔	\x18Sealed	
rdata_0630b0	000630b0	004648b0	.rdata	8		8	7	\x19居眠り	\x19Drowsy	
rdata_0630b8	000630b8	004648b8	.rdata	8		8	7	\x1a狂戦士	\x1aBerse.	
rdata_0630c0	000630c0	004648c0	.rdata	8		8	7	\x1bハイ	\x1bHigh	
rdata_0630c8	000630c8	004648c8	.rdata	8		8	7	\x1e泥酔	\x1eDrunk	
rdata_0630d0	000630d0	004648d0	.rdata	8		8	7	\x1dほろ酔	\x1dTipsy	
rdata_0630d8	000630d8	004648d8	.rdata	8		8	7	\x1c幸福	\x1cHappy	
rdata_0630e0	000630e0	004648e0	.rdata	8		8	7	\x1fｽﾗｲﾑ	\x1fSlime	
rdata_0630e8	000630e8	004648e8	.rdata	8		8	7	!吸血	!Vamp.	
rdata_0630f0	000630f0	004648f0	.rdata	10		8	7	"外傷	"Wound	
rdata_063110	00063110	00464910	.rdata	14	00440ef0		13	CNLDNL	CNLDNL	
rdata_0631d6	000631d6	004649d6	.rdata	8			7	p?	p?	@skip unreachable
rdata_0631ea	000631ea	004649ea	.rdata	5			4	 C	 C	@skip unreachable
rdata_0631f6	000631f6	004649f6	.rdata	4			3	$C	$C	@skip unreachable
rdata_06323a	0006323a	00464a3a	.rdata	4			3	 B	 B	@skip unreachable
rdata_06324e	0006324e	00464a4e	.rdata	15			14	 C	 C	@skip unreachable
rdata_06328e	0006328e	00464a8e	.rdata	16			15	t@333333t@	t@333333t@	@skip unreachable
rdata_06329e	0006329e	00464a9e	.rdata	4			3	`@	`@	@skip unreachable
rdata_064b80	00064b80	00466380	.rdata	9			8	\x08`h````	\x08`h````	@skip unreachable
rdata_064bb4	00064bb4	004663b4	.rdata	26	0046e6e4		25	(null)	(null)	
rdata_064bec	00064bec	004663ec	.rdata	20	0045e231		19	KERNEL32	KERNEL32	
rdata_064c00	00064c00	00466400	.rdata	8	0045e458		7	e+000	e+000	
rdata_064c80	00064c80	00466480	.rdata	16	00470cfc		15	runtime error 	runtime error 	
rdata_064c90	00064c90	00466490	.rdata	4	00470cf4		3	\r\n	\r\n	
rdata_064c94	00064c94	00466494	.rdata	16	00470cec		15	TLOSS error\r\n	TLOSS error\r\n	
rdata_064ca4	00064ca4	004664a4	.rdata	16	00470ce4		15	SING error\r\n	SING error\r\n	
rdata_064cb4	00064cb4	004664b4	.rdata	16	00470cdc		15	DOMAIN error\r\n	DOMAIN error\r\n	
rdata_064cc4	00064cc4	004664c4	.rdata	40	00470cd4		39	R6028\r\n- unable to initialize heap\r\n	R6028\r\n- unable to initialize heap\r\n	
rdata_064cec	00064cec	004664ec	.rdata	56	00470ccc		55	R6027\r\n- not enough space for lowio initialization\r\n	R6027\r\n- not enough space for lowio initialization\r\n	
rdata_064d24	00064d24	00466524	.rdata	56	00470cc4		55	R6026\r\n- not enough space for stdio initialization\r\n	R6026\r\n- not enough space for stdio initialization\r\n	
rdata_064d5c	00064d5c	0046655c	.rdata	40	00470cbc		39	R6025\r\n- pure virtual function call\r\n	R6025\r\n- pure virtual function call\r\n	
rdata_064d84	00064d84	00466584	.rdata	56	00470cb4		55	R6024\r\n- not enough space for _onexit/atexit table\r\n	R6024\r\n- not enough space for _onexit/atexit table\r\n	
rdata_064dbc	00064dbc	004665bc	.rdata	44	00470cac		43	R6019\r\n- unable to open console device\r\n	R6019\r\n- unable to open console device\r\n	
rdata_064de8	00064de8	004665e8	.rdata	36	00470ca4		35	R6018\r\n- unexpected heap error\r\n	R6018\r\n- unexpected heap error\r\n	
rdata_064e0c	00064e0c	0046660c	.rdata	48	00470c9c		47	R6017\r\n- unexpected multithread lock error\r\n	R6017\r\n- unexpected multithread lock error\r\n	
rdata_064e3c	00064e3c	0046663c	.rdata	44	00470c94		43	R6016\r\n- not enough space for thread data\r\n	R6016\r\n- not enough space for thread data\r\n	
rdata_064e68	00064e68	00466668	.rdata	36	00470c8c		35	\r\nabnormal program termination\r\n	\r\nabnormal program termination\r\n	
rdata_064e8c	00064e8c	0046668c	.rdata	44	00470c84		43	R6009\r\n- not enough space for environment\r\n	R6009\r\n- not enough space for environment\r\n	
rdata_064eb8	00064eb8	004666b8	.rdata	44	00470c7c		43	R6008\r\n- not enough space for arguments\r\n	R6008\r\n- not enough space for arguments\r\n	
rdata_064ee4	00064ee4	004666e4	.rdata	40	00470c74		39	R6002\r\n- floating point not loaded\r\n	R6002\r\n- floating point not loaded\r\n	
rdata_064f0c	00064f0c	0046670c	.rdata	40	00460759		39	Microsoft Visual C++ Runtime Library	Microsoft Visual C++ Runtime Library	
rdata_064f34	00064f34	00466734	.rdata	4	0046074b		3	\n\n	\n\n	
rdata_064f38	00064f38	00466738	.rdata	28	0046070a		27	Runtime Error!\n\nProgram: 	Runtime Error!\n\nProgram: 	
rdata_064f54	00064f54	00466754	.rdata	4	004606f5		3	...	...	
rdata_064f58	00064f58	00466758	.rdata	24	004606ab		23	<program name unknown>	<program name unknown>	
rdata_064f70	00064f70	00466770	.rdata	20	00461d9f		19	GetLastActivePopup	GetLastActivePopup	
