# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
m/MS7F02.BIN	R1:00	0	5	DATA	飛び道具		
m/MS7F02.BIN	R3:01	0	17	DATA	そんなこと		
m/MS7F02.BIN	R5:02	0	25	DATA	を攻撃し		
m/MS7F02.BIN	R7:03	0	35	DATA	だした		
m/MS7F02.BIN	R9:04	0	43	DATA	味方		
m/MS7F02.BIN	R11:05	0	51	DATA	銃口を向けた		
m/MS7F02.BIN	R13:06	0	65	DATA	自分に		
m/MS7F02.BIN	R15:07	0	73	DATA	襲いかかっ		
m/MS7F02.BIN	R17:08	0	87	DATA	アップ		
m/MS7F02.BIN	R19:09	0	97	DATA	ダウン		
m/MS7F02.BIN	R21:0A	0	107	DATA	自分自身		
m/MS7F02.BIN	R23:0B	0	117	DATA	しかし、		
m/MS7F02.BIN	R25:0C	0	125	DATA	され		
m/MS7F02.BIN	R27:0D	0	133	DATA	ＨＰ		
m/MS7F02.BIN	R29:0E	0	141	DATA	ＭＰ		
m/MS7F02.BIN	R31:0F	0	149	DATA	ＥＸＰ		
m/MS7F02.BIN	R33:10	0	159	DATA	回復		
m/MS7F02.BIN	R35:11	0	167	DATA	敵に		
m/MS7F02.BIN	R37:12	0	175	DATA	切り		
m/MS7F02.BIN	R39:13	0	183	DATA	目の前に		
