# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
m/MS002B.BIN	0:00	0	12	1FD2	声：	Voice:	@from-v005
m/MS002B.BIN	0:00	1	18	1FD3	{08:72}ついに{02:08}{08:45}{08:71}来たのね{08:72}	So, you've finally made it... Ayato...\n<wait>	reads: ‥‥ついに‥‥‥ここまで来たのね‥‥ @from-v005
m/MS002B.BIN	0:00	2	46	00	{04:FF}‥\n<wait>	{04:FF}‥\n<wait>	reads: ‥\n<wait> @rebase-new
m/MS002B.BIN	0:00	3	81	1FD2	{08:31}：	Rui:	reads: 泪： @from-v005
m/MS002B.BIN	0:00	4	92	09	貴方は{08:45}で、選ば{08:57}{08:7D}{08:25}わ{02:08}‥\n<wait>さぁ、立ち上が{08:52}{02:08}‥\n<wait>	You're going to have to make a choice here.\n<wait>Now, stand.\n<wait>	reads: 貴方はここで、選ばなければならないわ‥‥‥‥\n<wait>さぁ、立ち上がって‥‥‥‥\n<wait> @from-v005
m/MS002B.BIN	0:00	5	158	00	{04:FF}の身体を、光が包み込{08:5F}！\n<wait>		reads: の身体を、光が包み込んだ！\n<wait> @rebase-new
m/MS002B.BIN	0:00	6	219	00	{04:FF}{08:62}全快{08:17}！\n<wait>		reads: は、全快した！！\n<wait> @rebase-new
m/MS002B.BIN	0:00	7	240	1FD2	{08:31}：		reads: 泪： @rebase-new
m/MS002B.BIN	0:00	8	250	00	{04:FF}。		reads: 。 @rebase-new
m/MS002B.BIN	0:00	9	258	00	{04:FE}の心臓は私の中よ。\n{01:16}が彼女を引き裂き{02:08}喰{08:51}{08:72}\n<wait>		reads: の心臓は私の中よ。\nあたしが彼女を引き裂き‥‥‥喰った‥‥\n<wait> @rebase-new
m/MS002B.BIN	0:00	10	362	1FD2	アスタルテ：	Rui:	@from-v005
m/MS002B.BIN	0:00	11	376	1FD3	{08:47}問題に{08:62}曖昧な答{08:6A}て無い。\n<wait>	Ayato. Yuuka's heart is inside me.\nI tore her apart... and ate it.\n<wait>	reads: この問題には、曖昧な答なんて無い。\n<wait> @from-v005
m/MS002B.BIN	0:00	12	413	1FD2	アスタルテ：	Astarte:	@from-v005
m/MS002B.BIN	0:00	13	427	1FD3	彼女を選べば、私が死ぬ。私を選べば、彼女が死ぬ。\n{01:3F}かを選ぶ{08:86}道は無いわ。\n<wait>	Let there be no ambiguity.\n<wait>	reads: 彼女を選べば、私が死ぬ。私を選べば、彼女が死ぬ。\nどちらかを選ぶしか道は無いわ。\n<wait> @from-v005
m/MS002B.BIN	0:00	14	509	1FD2	アスタルテ：	Astarte:	@from-v005
m/MS002B.BIN	0:00	15	523	1FD3	さあ、{08:90}{08:8E}の？　選んで！！\n	If you choose her, I will die. If you choose me, she will die.\nThere is no other way forward. You need to choose.\n<wait>	reads: さあ、どうするの？　選んで！！\n @from-v005
m/MS002B.BIN	0:00	16	570	00	{04:FE}	{04:FE}	reads:  @rebase-new
m/MS002B.BIN	0:00	17	574	1FB2	{08:31}	Rui	reads: 泪; menu option, declared width 20 columns @from-v005
m/MS002B.BIN	0:00	18	590	0F	{01:21}{07:FF}	{01:21}{07:FF}	reads: パパ
m/MS002B.BIN	0:00	19	605	00	{04:FF}{08:62}そ{08:53}		reads: は、そっと @rebase-new
m/MS002B.BIN	0:00	20	617	00	{04:FE}を抱き寄せた。\n<wait>		reads: を抱き寄せた。\n<wait> @rebase-new
m/MS002B.BIN	0:00	21	665	1FD2	アスタルテ：	Astarte:	@from-v005
m/MS002B.BIN	0:00	22	679	1FD3	わ{08:18}わ{02:08}{08:72}\n<wait>	Very well...\n<wait>	reads: わかったわ‥‥‥‥‥\n<wait> @from-v005
m/MS002B.BIN	0:00	23	698	1FD2	アスタルテ：	Astarte:	@from-v005
