# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
et/ID009F.BIN	F0	0	38	1FB2	宝石	Gemstone	
et/ID009F.BIN	F0	1	44	1FB2	魔石	Magic Stone	
et/ID009F.BIN	F0	2	50	1FB2	ＭＡＧ	MAG	
et/ID009F.BIN	F0	3	58	1FB2	金	Money	
et/ID009F.BIN	F0	4	62	1FB2	他の物	Other	
et/ID009F.BIN	F0	5	114	1FB2	猫じゃらしを振る	Wave Cat Toy	
et/ID009F.BIN	F0	6	130	1FB2	マタタビをあげる	Catnip	
et/ID009F.BIN	F0	7	148	1FB2	喉を撫でる	Rub Neck	
et/ID009F.BIN	F0	8	160	1FB2	やめる	Cancel	
et/ID009F.BIN	F0	9	166	1FB2	他の物	Other	
et/ID009F.BIN	F0	10	221	1FB2	宝石	Gemstone	
et/ID009F.BIN	F0	11	227	1FB2	魔石	Magic Stone	
et/ID009F.BIN	F0	12	233	1FB2	ＭＡＧ	MAG	
et/ID009F.BIN	F0	13	241	1FB2	金	Money	
et/ID009F.BIN	F0	14	245	1FB2	他の物	Other	
et/ID009F.BIN	F0	15	297	1FB2	猫じゃらしを振る	Wave Cat Toy	
et/ID009F.BIN	F0	16	313	1FB2	マタタビをあげる	Catnip	
et/ID009F.BIN	F0	17	331	1FB2	やめる	Cancel	
et/ID009F.BIN	F0	18	337	1FB2	他の物	Other	
et/ID009F.BIN	F0	19	492	1FBA	＞もっとやりますか？\n	>Keep going?\n	
et/ID009F.BIN	F0	20	575	1FBA	＞もっとやりますか？\n	>Keep going?\n	
et/ID009F.BIN	F0	21	889	1FB2	もっとやる	Keep Going	
et/ID009F.BIN	F0	22	899	1FB2	やめちゃう	Stop	
et/ID009F.BIN	F0	23	1171	1FBA	＞{02}	>{02}	runtime inserts: reproduce every {XX} token, in order
et/ID009F.BIN	F0	24	1192	1FB2	ひきとめる	Hold Back	
et/ID009F.BIN	F0	25	1202	1FB2	ほっとく	Leave It	
et/ID009F.BIN	F0	26	1210	1FB2	猫じゃらしを振る	Wave Cat Toy	
et/ID009F.BIN	F0	27	1438	1FBA	＞もっとやりますか？\n	>Keep going?\n	
et/ID009F.BIN	F0	28	1503	1FB2	仕方ないな	I guess so	
et/ID009F.BIN	F0	29	1513	1FB2	駄目ったら駄目！	No means no!	
