# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
m/MS000E.BIN	F0	0	7	1FD0	There's no one here...\n	There's no one here...\n	
m/MS000E.BIN	F0	1	56	1FD0	You're just about to exit the building when all of a sudden,\na demon appears before you.\n<wait>	You're just about to exit the building when all of a sudden,\na demon appears before you.\n<wait>	
m/MS000E.BIN	F0	2	180	1FD2	Demon:	Demon:	
m/MS000E.BIN	F0	3	188	1FD3	He is... Katsuragi Ayato.\n<wait>	He is... Katsuragi Ayato.\n<wait>	
m/MS000E.BIN	F0	4	222	1FD0	Having said that, the demon points at Katsuragi.\n<wait>	Having said that, the demon points at Katsuragi.\n<wait>	
m/MS000E.BIN	F0	5	277	1FBA	{0B}Q	{0B}Q	suspect: may be misread operand data, verify before editing; runtime inserts: reproduce every {XX} token, in order
m/MS000E.BIN	F0	6	284	1FD2	Sonoda:	Sonoda:	
m/MS000E.BIN	F0	7	293	1FD3	Yeah, he is. And you are?\n<wait>	Yeah, he is. And you are?\n<wait>	
m/MS000E.BIN	F0	8	327	1FD0	Sonoda readies his weapon.\n<wait>	Sonoda readies his weapon.\n<wait>	
m/MS000E.BIN	F0	9	363	1FD2	Rui:	Rui:	
m/MS000E.BIN	F0	10	369	1FD3	Yeah, he is. And you are?\n<wait>	Yeah, he is. And you are?\n<wait>	
m/MS000E.BIN	F0	11	404	1FD2	Demon:	Demon:	
m/MS000E.BIN	F0	12	412	1FD3	You're... Katsuragi Ayato.\n	You're... Katsuragi Ayato.\n	
m/MS000E.BIN	F0	13	455	1FB2	And you are?	And you are?	
m/MS000E.BIN	F0	14	469	1FB2	Ready your weapon	Ready your weapon	
m/MS000E.BIN	F0	15	488	1FB2	Wrong person, sorry	Wrong person, sorry	
m/MS000E.BIN	F0	16	533	1FD2	Demon:	Demon:	
m/MS000E.BIN	F0	17	541	1FD3	I must apologize, but I am not interested in chitchat.<wait>	I must apologize, but I am not interested in chitchat.<wait>	
m/MS000E.BIN	F0	18	606	1FD2	Demon:	Demon:	
m/MS000E.BIN	F0	19	614	1FD3	Don't even try it. I recognize you.\n<wait>	Don't even try it. I recognize you.\n<wait>	
m/MS000E.BIN	F0	20	658	1FD2	Demon:	Demon:	
m/MS000E.BIN	F0	21	666	1FD3	I have a message to you from Lord Adonis. Here.\n<wait>	I have a message to you from Lord Adonis. Here.\n<wait>	
m/MS000E.BIN	F0	22	722	1FD0	With that, the demon hands you a letter written on real paper,\nsomething that you don't see often these days.\n<wait>	With that, the demon hands you a letter written on real paper,\nsomething that you don't see often these days.\n<wait>	
m/MS000E.BIN	F0	23	902	1FD2	Demon:	Demon:	
m/MS000E.BIN	F0	24	910	1FD3	...Later!\n<wait>	...Later!\n<wait>	
m/MS000E.BIN	F0	25	932	1FD0	The demon vanishes just as swiftly as he appeared.\n<wait>	The demon vanishes just as swiftly as he appeared.\n<wait>	
m/MS000E.BIN	F0	26	1056	1FBA	Inside, there is a challenge directed towards Katsuragi.\n<wait>	Inside, there is a challenge directed towards Katsuragi.\n<wait>	
m/MS000E.BIN	F0	27	1119	1FBA	It appears that Adonis wants you to duel him at the colosseum located\nwithin the ground zero at Shinjuku to decide once and for all which\none of you is stronger.\n<wait>	It appears that Adonis wants you to duel him at the colosseum located\nwithin the ground zero at Shinjuku to decide once and for all which\none of you is stronger.\n<wait>	
m/MS000E.BIN	F0	28	1363	1FD2	Sonoda:	Sonoda:	
m/MS000E.BIN	F0	29	1372	1FD3	{0B}K	{0B}K	suspect: may be misread operand data, verify before editing; runtime inserts: reproduce every {XX} token, in order
m/MS000E.BIN	F0	30	1411	1FD0	Sonoda peeks over your shoulder and 	Sonoda peeks over your shoulder and 	
m/MS000E.BIN	F0	31	1468	1FD0	As he reaches the postscript, Sonoda's face suddenly stiffens.\n<wait>	As he reaches the postscript, Sonoda's face suddenly stiffens.\n<wait>	
m/MS000E.BIN	F0	32	1545	1FD2	Rui:	Rui:	
m/MS000E.BIN	F0	33	1551	1FD3	{0B}8	{0B}8	suspect: may be misread operand data, verify before editing; runtime inserts: reproduce every {XX} token, in order
m/MS000E.BIN	F0	34	1574	1FD0	Rui peeks over your shoulder and 	Rui peeks over your shoulder and 	
m/MS000E.BIN	F0	35	1624	1FD0	As he reaches the postscript, Rui's face suddenly stiffens.\n<wait>	As he reaches the postscript, Rui's face suddenly stiffens.\n<wait>	
m/MS000E.BIN	F0	36	1757	1FBA	PS. For every day that you fail to show up,\nanother innocent person gets crucified.\n<wait>	PS. For every day that you fail to show up,\nanother innocent person gets crucified.\n<wait>	
m/MS000E.BIN	F0	37	1854	1FD2	Sonoda:	Sonoda:	
m/MS000E.BIN	F0	38	1863	1FD3	That cowardly son of a bitch!\n<wait>	That cowardly son of a bitch!\n<wait>	
m/MS000E.BIN	F0	39	1901	1FD2	Sonoda:	Sonoda:	
m/MS000E.BIN	F0	40	1910	1FD3	{0B}ﾄ		suspect: may be misread operand data, verify before editing; runtime inserts: reproduce every {XX} token, in order @operand @skip
m/MS000E.BIN	F0	41	2032	1FD2	Sonoda:	Sonoda:	
m/MS000E.BIN	F0	42	2041	1FD3	Let's hurry there before a single innocent person gets hurt!\n<wait>	Let's hurry there before a single innocent person gets hurt!\n<wait>	
m/MS000E.BIN	F0	43	2176	1FD2	Sonoda:	Sonoda:	
m/MS000E.BIN	F0	44	2185	1FD3	Katsuragi	Katsuragi	
m/MS000E.BIN	F0	45	2251	1FD2	Rui:	Rui:	
