# Translations that did not survive the 1EBE re-extraction.
# 8 lost + 4 changed out of 12,594.  Restore by finding the Japanese
# in the named record and putting the English back.
kind	file	rec	jp	old_en	new_en
lost	m/MS0003.BIN	0:02	バール兵：	Baal Soldier:	
lost	m/MS000F.BIN	0:02	大国主：	Okuninushi:	
lost	m/MS001B.BIN	0:05	{08:0B}：	Demon:	
lost	m/MS001B.BIN	0:05	{08:72}	... | ... 	
lost	m/MS002B.BIN	0:00	さあ{02:08}最後の仕上げ{08:55}{02:08}‥\nバールの元{08:71}、共に参りま{08:80}{02:08}‥\n<wait>	Now......... the final touch........\nLet us go together, to Baal........\n<wait>	
lost	m/MS002B.BIN	0:00	イシュタル：	Ishtar:	
lost	m/MS0058.BIN	0:00	{08:62}	 came to the control computer room where  |  obtained 	
lost	m/MS0062.BIN	0:06	{08:31}：	Rui:	
changed	m/MS0000.BIN	0:01	{08:45}で降伏すれば、恐らくは新宿に{08:7B}と言わ{08:2F}、強制労働{02:02}に、\n連れて行か{08:2F}{08:8C}。\n<wait>	Surrender here, and he would likely be taken to the forced labor camp\nsaid to lie somewhere in Shinjuku.\n<wait> | Surrender here, and you would likely be taken to the forced labor camp\nsaid to lie somewhere in Shinjuku.\n<wait>	Surrender here, and he would likely be taken to the forced labor camp\nsaid to lie somewhere in Shinjuku.\n<wait>
changed	m/MS0000.BIN	0:01	{08:5B}、他の{08:10}{08:71}{08:62}かなり歩かねば{08:7D}{08:25}。\n<wait>{08:79}途中に{08:62}{08:0B}やごろつき達が五万と{08:40}{08:77}{08:72}。\n<wait>	And it is a long walk to any other Shelter.\n<wait>The road there is crawling with demons and thugs beyond counting......\n<wait> | And it is a long walk to any other shelter.\n<wait>The road there is crawling with demons and thugs beyond counting......\n<wait>	And it is a long walk to any other shelter.\n<wait>The road there is crawling with demons and thugs beyond counting......\n<wait>
changed	m/MS0000.BIN	0:01	降伏すれば命の保証。{08:81}なきゃ野垂れ死にだ。\n<wait>	Surrender and your life's guaranteed. Otherwise you die in a ditch.\n<wait> | Surrender and your lives are guaranteed. Otherwise you die in a ditch.\n<wait>	Surrender and your lives are guaranteed. Otherwise you die in a ditch.\n<wait>
changed	m/MS0064.BIN	0:03	ハリティー：	Hariti: | Hariti: 	Hariti:
