# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
m/MS001F.BIN	F0	0	109	1FD0	The entire squad, minus Yuuka, is waiting for you inside the office.\n<wait>They all have very stern expressions on their faces.\nIn addition, they're decked out from head to toe,\nalmost like they were prepared for combat.\n<wait>	The entire squad, minus Yuuka, is waiting for you inside the office.\n<wait>They all have very stern expressions on their faces.\nIn addition, they're decked out from head to toe,\nalmost like they were prepared for combat.\n<wait>	
m/MS001F.BIN	F0	1	336	1FD2	Nishino:	Nishino:	
m/MS001F.BIN	F0	2	346	1FD3	We've been waiting for you, Katsuragi.\n<wait>	We've been waiting for you, Katsuragi.\n<wait>	
m/MS001F.BIN	F0	3	393	1FD0	Nishino is the first to speak. He's always been like a father to you,\nyet now, not even a hint of familiarity can be heard in his voice.\n<wait>You quickly notice him flicking a switch of some kind.\n<wait>	Nishino is the first to speak. He's always been like a father to you,\nyet now, not even a hint of familiarity can be heard in his voice.\n<wait>You quickly notice him flicking a switch of some kind.\n<wait>	
m/MS001F.BIN	F0	4	850	1FD0	This is it. End of the line. They're about to kill you...\n<wait>Perhaps this was always your fate, how your life was meant to end.\n<wait>	This is it. End of the line. They're about to kill you...\n<wait>Perhaps this was always your fate, how your life was meant to end.\n<wait>	
m/MS001F.BIN	F0	5	987	1FD0	Without as much as a single word, you close your eyes and wait for the\ngoddess of fate to appear, and to cut your life-thread with her shears.\n	Without as much as a single word, you close your eyes and wait for the\ngoddess of fate to appear, and to cut your life-thread with her shears.\n	
m/MS001F.BIN	F0	6	1136	1FFA	......?\\m<wait>	......?\\m<wait>	
m/MS001F.BIN	F0	7	1159	1FD2	Nishino:	Nishino:	
m/MS001F.BIN	F0	8	1169	1FD3	Was that enough magnetite for you?\n<wait>	Was that enough magnetite for you?\n<wait>	
m/MS001F.BIN	F0	9	1217	1FD1	*Thump*!\n<wait>	*Thump*!\n<wait>	
