# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	ref_en	ref_src	status	note
m/MS005B.BIN	0:00	0	2	1FD2	男性：		Man:	v005		
m/MS005B.BIN	0:00	1	10	1FD3	{02:00}の制服{08:52}の{08:62}えらく		I've gotta say, those Devil Buster uniforms 	v005		reads: デビルバスターの制服ってのは、えらく
m/MS005B.BIN	0:00	2	35	09	目立つぜ。\n{08:7A}の着{08:2B}と、{08:0B}に狙わ{08:2F}かも知れんぞ。\n<wait>		stand out quite a bit.\nI feel like you're just asking to get attacked.\n<wait>	v005		reads: 目立つぜ。\nそんなの着てると、悪魔に狙われるかも知れんぞ。\n<wait>; reads: 目立つぜ。\nそんなの着てると、悪魔に狙われるかも知れんぞ。\n<wait> @refalign
m/MS005B.BIN	0:00	3	91	1FD2	男性：		Man:	v005		
m/MS005B.BIN	0:00	4	99	1FD3	性能{08:26}い{08:5F}{08:42}、何も{08:7A}デザインにしなくた{08:52}{08:7F}のにな{08:72}\n		are pretty efficient.\nI just wish they didn't look so ridiculous...\n	v005		reads: 性能はいいんだから、何もそんなデザインにしなくたっていいのにな‥‥\n
m/MS005B.BIN	0:00	5	153	18	派手だな。\n<wait>{08:86}も、{08:79}センスっ{08:50}、{08:6C}に前時代的だぜ。\n<wait>{08:8B}、{08:7A}の着てて恥ずかしく{08:25}な。\n<wait>		are pretty flashy.\n<wait>That design is some peak old world shit.\n<wait>How do you even pull it off without feeling like a total clown?\n<wait>	v005		reads: 派手だな。\n<wait>しかも、そのセンスったら、完全に前時代的だぜ。\n<wait>よく、そんなの着てて恥ずかしくないな。\n<wait>; reads: 派手だな。\n<wait>しかも、そのセンスったら、完全に前時代的だぜ。\n<wait>よく、そんなの着てて恥ずかしくないな。\n<wait> @refalign
m/MS005B.BIN	0:01	0	2	1FD2	女性：		Woman:	v005		
m/MS005B.BIN	0:01	1	10	1FD3	{08:45}{08:62}女性専用エリアよ。\n<wait>男共の出入りが禁じられ{08:2B}訳{08:81}{08:25}{08:84}、無闇に出入り{08:4A}{08:50}、\n{08:7F}顔は{03:0C}{08:25}わ。\n<wait>		This section is for women only.\n<wait>While men aren't technically barred from entering,\nit's generally pretty frowned upon.\n<wait>	v005		reads: ここは、女性専用エリアよ。\n<wait>男共の出入りが禁じられてる訳じゃないけど、無闇に出入りしてたら、\nいい顔はされないわ。\n<wait>
m/MS005B.BIN	0:01	2	113	1FD2	女性：		Woman:	v005		
m/MS005B.BIN	0:01	3	121	1FD3	気をつけな{08:49}ね。\n<wait>		Take care, alright?\n<wait>	v005		reads: 気をつけなさいね。\n<wait>
