# Giten Megami Tensei translation table -- see docs/pipeline.md
# Edit the 'en' column only.  Leave it empty (or equal to 'jp') to keep the
# original bytes.  Escapes: \n newline, <wait> page-wait, {XX} control byte
# (keep them, in order), \\ \{ \< literal backslash / brace / angle.
file	rec	idx	off	tag	jp	en	note
m/MS0014.BIN	F0	0	224	1FD2	Yuuka:	Yuuka:	
m/MS0014.BIN	F0	1	232	1FD3	Activate the five immovable protectors...\nAnd the barrier shall break...\n<wait>	Activate the five immovable protectors...\nAnd the barrier shall break...\n<wait>	
m/MS0014.BIN	F0	2	313	1FD2	Yuuka:	Yuuka:	
m/MS0014.BIN	F0	3	321	1FD3	Then, you can enter Bael's castle...\n<wait>	Then, you can enter Bael's castle...\n<wait>	
m/MS0014.BIN	F0	4	366	1FD2	Yuuka:	Yuuka:	
m/MS0014.BIN	F0	5	374	1FD3	And save me...\n<wait>	And save me...\n<wait>	
m/MS0014.BIN	F0	6	433	1FD2	Yoshino-hime:	Yoshino-hime:	
m/MS0014.BIN	F0	7	448	1FD3	It appears that you have made it through...\n<wait>	It appears that you have made it through...\n<wait>	
m/MS0014.BIN	F0	8	500	1FD2	Yoshino-hime:	Yoshino-hime:	
m/MS0014.BIN	F0	9	515	1FD3	Very well...\n<wait>It is now time for you to return to the real world...\n<wait>	Very well...\n<wait>It is now time for you to return to the real world...\n<wait>	
m/MS0014.BIN	F0	10	652	1FD2	Yuuka:	Yuuka:	
m/MS0014.BIN	F0	11	660	1FD3	Hey, Katsuragi. Do you ever wish that we would've been born sooner?\n<wait>	Hey, Katsuragi. Do you ever wish that we would've been born sooner?\n<wait>	
m/MS0014.BIN	F0	12	736	1FD2	Yuuka:	Yuuka:	
m/MS0014.BIN	F0	13	744	1FD3	That way, we could've lived happy together...\n<wait>	That way, we could've lived happy together...\n<wait>	
m/MS0014.BIN	F0	14	822	1FD2	Father:	Father:	
m/MS0014.BIN	F0	15	831	1FD3	Ayato...\n<wait>I hear that you told your mother that you would become\na Devil Buster when you grew up.\n<wait>	Ayato...\n<wait>I hear that you told your mother that you would become\na Devil Buster when you grew up.\n<wait>	
m/MS0014.BIN	F0	16	940	1FD2	Father:	Father:	
m/MS0014.BIN	F0	17	949	1FD3	I'm really happy to hear that.\nYou've always been more of the quiet type.\n<wait>	I'm really happy to hear that.\nYou've always been more of the quiet type.\n<wait>	
m/MS0014.BIN	F0	18	1031	1FD2	Father:	Father:	
m/MS0014.BIN	F0	19	1040	1FD3	If I had to guess,\nI would've said that you'd become a scientist or something.\n<wait>	If I had to guess,\nI would've said that you'd become a scientist or something.\n<wait>	
m/MS0014.BIN	F0	20	1151	1FD2	Watanabe:	Watanabe:	
m/MS0014.BIN	F0	21	1162	1FD3	Oh, Katsuragi? Good job. I owe you my thanks.\n<wait>	Oh, Katsuragi? Good job. I owe you my thanks.\n<wait>	
m/MS0014.BIN	F0	22	1216	1FD2	Watanabe:	Watanabe:	
m/MS0014.BIN	F0	23	1227	1FD3	Now... There is something that I need to tell you...\n<wait>	Now... There is something that I need to tell you...\n<wait>	
m/MS0014.BIN	F0	24	1346	1FD2	Baal Hadad:	Baal Hadad:	
m/MS0014.BIN	F0	25	1359	1FD3	Oh, humans... How weak they are... Worthless insects...\n<wait>	Oh, humans... How weak they are... Worthless insects...\n<wait>	
m/MS0014.BIN	F0	26	1447	1FD2	Nishino:	Nishino:	
m/MS0014.BIN	F0	27	1457	1FD3	Ayato... The truth is, your father... He...\n<wait>	Ayato... The truth is, your father... He...\n<wait>	
m/MS0014.BIN	F0	28	1540	1FD2	Harajuku Shelter:	Harajuku Shelter:	
m/MS0014.BIN	F0	29	1559	1FD3	This is Harajuku Shelter!\nWe are requesting immediate aid!\nI repeat, we are requesting immediate aid!\n<wait>	This is Harajuku Shelter!\nWe are requesting immediate aid!\nI repeat, we are requesting immediate aid!\n<wait>	
m/MS0014.BIN	F0	30	1669	1FD2	Harajuku Shelter:	Harajuku Shelter:	
m/MS0014.BIN	F0	31	1688	1FD3	Demons have entered the shelter.\nHow they got it, that it presently unknown.\n<wait>	Demons have entered the shelter.\nHow they got it, that it presently unknown.\n<wait>	
m/MS0014.BIN	F0	32	1773	1FD2	Harajuku Shelter:	Harajuku Shelter:	
m/MS0014.BIN	F0	33	1792	1FD3	There is no external damage done to the shelter.\n<wait>Likewise, the barrier is still fully functional.\n<wait>	There is no external damage done to the shelter.\n<wait>Likewise, the barrier is still fully functional.\n<wait>	
m/MS0014.BIN	F0	34	1930	1FD2	Mika:	Mika:	
m/MS0014.BIN	F0	35	1937	1FD3	Hey, Katsuragi... I... I love you...\n<wait>	Hey, Katsuragi... I... I love you...\n<wait>	
m/MS0014.BIN	F0	36	2008	1FD2	Mika's Mother:	Mika's Mother:	
m/MS0014.BIN	F0	37	2024	1FD3	What have you been teaching her!?\n<wait>For heaven's sake, she is only six years old!\n<wait>	What have you been teaching her!?\n<wait>For heaven's sake, she is only six years old!\n<wait>	
